Densité de Bisounours,Fréquence d'apparition de la couleur jaune,Violence exprimée
0,1.4142135624,1.5024067404
0.01,1.4143550049,1.5025408448
0.02,1.41449649,1.502674991
0.03,1.4146380175,1.5028091791
0.04,1.4147795874,1.5029434092
0.05,1.4149211999,1.5030776812
0.06,1.415062855,1.5032119951
0.07,1.4152045525,1.5033463511
0.08,1.4153462927,1.503480749
0.09,1.4154880754,1.503615189
0.1,1.4156299008,1.5037496711
0.11,1.4157717688,1.5038841952
0.12,1.4159136795,1.5040187614
0.13,1.4160556328,1.5041533697
0.14,1.4161976289,1.5042880202
0.15,1.4163396677,1.5044227128
0.16,1.4164817492,1.5045574476
0.17,1.4166238735,1.5046922246
0.18,1.4167660405,1.5048270439
0.19,1.4169082504,1.5049619053
0.2,1.4170505032,1.5050968091
0.21,1.4171927987,1.5052317551
0.22,1.4173351372,1.5053667434
0.23,1.4174775185,1.5055017741
0.24,1.4176199428,1.5056368471
0.25,1.41776241,1.5057719625
0.26,1.4179049202,1.5059071203
0.27,1.4180474733,1.5060423205
0.28,1.4181900695,1.5061775632
0.29,1.4183327087,1.5063128483
0.3,1.4184753909,1.5064481759
0.31,1.4186181162,1.506583546
0.32,1.4187608846,1.5067189586
0.33,1.4189036961,1.5068544138
0.34,1.4190465507,1.5069899115
0.35,1.4191894485,1.5071254518
0.36,1.4193323895,1.5072610348
0.37,1.4194753737,1.5073966603
0.38,1.4196184011,1.5075323286
0.39,1.4197614717,1.5076680395
0.4,1.4199045856,1.5078037931
0.41,1.4200477428,1.5079395894
0.42,1.4201909433,1.5080754285
0.43,1.4203341871,1.5082113103
0.44,1.4204774743,1.5083472349
0.45,1.4206208049,1.5084832024
0.46,1.4207641788,1.5086192126
0.47,1.4209075962,1.5087552657
0.48,1.421051057,1.5088913617
0.49,1.4211945613,1.5090275006
0.5,1.421338109,1.5091636824
0.51,1.4214817003,1.5092999071
0.52,1.4216253351,1.5094361748
0.53,1.4217690134,1.5095724855
0.54,1.4219127353,1.5097088392
0.55,1.4220565008,1.5098452359
0.56,1.42220031,1.5099816757
0.57,1.4223441627,1.5101181586
0.58,1.4224880592,1.5102546845
0.59,1.4226319993,1.5103912535
0.6,1.4227759831,1.5105278657
0.61,1.4229200106,1.5106645211
0.62,1.4230640819,1.5108012196
0.63,1.4232081969,1.5109379614
0.64,1.4233523558,1.5110747463
0.65,1.4234965584,1.5112115745
0.66,1.4236408049,1.511348446
0.67,1.4237850953,1.5114853608
0.68,1.4239294295,1.5116223189
0.69,1.4240738077,1.5117593203
0.7,1.4242182297,1.5118963651
0.71,1.4243626958,1.5120334533
0.72,1.4245072057,1.5121705849
0.73,1.4246517597,1.5123077599
0.74,1.4247963577,1.5124449784
0.75,1.4249409998,1.5125822403
0.76,1.4250856859,1.5127195457
0.77,1.425230416,1.5128568947
0.78,1.4253751903,1.5129942871
0.79,1.4255200087,1.5131317232
0.8,1.4256648713,1.5132692028
0.81,1.425809778,1.513406726
0.82,1.4259547289,1.5135442929
0.83,1.4260997241,1.5136819034
0.84,1.4262447635,1.5138195576
0.85,1.4263898471,1.5139572555
0.86,1.426534975,1.5140949971
0.87,1.4266801473,1.5142327824
0.88,1.4268253638,1.5143706115
0.89,1.4269706248,1.5145084844
0.9,1.42711593,1.5146464011
0.91,1.4272612797,1.5147843616
0.92,1.4274066738,1.514922366
0.93,1.4275521124,1.5150604143
0.94,1.4276975954,1.5151985064
0.95,1.4278431229,1.5153366425
0.96,1.4279886949,1.5154748225
0.97,1.4281343115,1.5156130465
0.98,1.4282799726,1.5157513145
0.99,1.4284256783,1.5158896265
1,1.4285714286,1.5160279826
1.01,1.4287172235,1.5161663827
1.02,1.428863063,1.5163048268
1.03,1.4290089473,1.5164433151
1.04,1.4291548762,1.5165818475
1.05,1.4293008498,1.5167204241
1.06,1.4294468682,1.5168590448
1.07,1.4295929313,1.5169977097
1.08,1.4297390393,1.5171364189
1.09,1.429885192,1.5172751722
1.1,1.4300313895,1.5174139699
1.11,1.4301776319,1.5175528118
1.12,1.4303239192,1.5176916981
1.13,1.4304702514,1.5178306286
1.14,1.4306166285,1.5179696036
1.15,1.4307630506,1.5181086229
1.16,1.4309095176,1.5182476866
1.17,1.4310560296,1.5183867947
1.18,1.4312025866,1.5185259473
1.19,1.4313491887,1.5186651444
1.2,1.4314958358,1.5188043859
1.21,1.431642528,1.518943672
1.22,1.4317892653,1.5190830026
1.23,1.4319360477,1.5192223777
1.24,1.4320828753,1.5193617975
1.25,1.4322297481,1.5195012619
1.26,1.432376666,1.5196407709
1.27,1.4325236292,1.5197803245
1.28,1.4326706377,1.5199199229
1.29,1.4328176913,1.5200595659
1.3,1.4329647903,1.5201992537
1.31,1.4331119346,1.5203389862
1.32,1.4332591243,1.5204787635
1.33,1.4334063593,1.5206185855
1.34,1.4335536397,1.5207584524
1.35,1.4337009655,1.5208983642
1.36,1.4338483367,1.5210383208
1.37,1.4339957534,1.5211783223
1.38,1.4341432155,1.5213183687
1.39,1.4342907232,1.52145846
1.4,1.4344382764,1.5215985963
1.41,1.4345858751,1.5217387776
1.42,1.4347335194,1.5218790039
1.43,1.4348812093,1.5220192752
1.44,1.4350289448,1.5221595916
1.45,1.435176726,1.522299953
1.46,1.4353245528,1.5224403596
1.47,1.4354724253,1.5225808112
1.48,1.4356203436,1.5227213081
1.49,1.4357683075,1.5228618501
1.5,1.4359163172,1.5230024372
1.51,1.4360643727,1.5231430696
1.52,1.4362124741,1.5232837473
1.53,1.4363606212,1.5234244702
1.54,1.4365088142,1.5235652384
1.55,1.4366570531,1.5237060519
1.56,1.4368053378,1.5238469107
1.57,1.4369536685,1.5239878149
1.58,1.4371020452,1.5241287645
1.59,1.4372504678,1.5242697595
1.6,1.4373989364,1.5244108
1.61,1.4375474511,1.5245518858
1.62,1.4376960118,1.5246930172
1.63,1.4378446185,1.5248341941
1.64,1.4379932714,1.5249754164
1.65,1.4381419703,1.5251166844
1.66,1.4382907154,1.5252579979
1.67,1.4384395067,1.525399357
1.68,1.4385883441,1.5255407617
1.69,1.4387372278,1.5256822121
1.7,1.4388861577,1.5258237082
1.71,1.4390351338,1.5259652499
1.72,1.4391841563,1.5261068373
1.73,1.439333225,1.5262484705
1.74,1.4394823401,1.5263901495
1.75,1.4396315015,1.5265318743
1.76,1.4397807093,1.5266736448
1.77,1.4399299635,1.5268154612
1.78,1.4400792641,1.5269573235
1.79,1.4402286112,1.5270992316
1.8,1.4403780048,1.5272411857
1.81,1.4405274448,1.5273831857
1.82,1.4406769314,1.5275252317
1.83,1.4408264646,1.5276673236
1.84,1.4409760443,1.5278094615
1.85,1.4411256706,1.5279516455
1.86,1.4412753435,1.5280938755
1.87,1.441425063,1.5282361516
1.88,1.4415748293,1.5283784738
1.89,1.4417246422,1.5285208422
1.9,1.4418745018,1.5286632567
1.91,1.4420244082,1.5288057173
1.92,1.4421743613,1.5289482242
1.93,1.4423243613,1.5290907773
1.94,1.442474408,1.5292333766
1.95,1.4426245016,1.5293760222
1.96,1.4427746421,1.5295187141
1.97,1.4429248294,1.5296614524
1.98,1.4430750636,1.5298042369
1.99,1.4432253448,1.5299470679
2,1.443375673,1.5300899452
2.01,1.4435260481,1.530232869
2.02,1.4436764702,1.5303758392
2.03,1.4438269394,1.5305188559
2.04,1.4439774556,1.530661919
2.05,1.444128019,1.5308050287
2.06,1.4442786294,1.530948185
2.07,1.4444292869,1.5310913878
2.08,1.4445799916,1.5312346372
2.09,1.4447307435,1.5313779332
2.1,1.4448815426,1.5315212758
2.11,1.445032389,1.5316646651
2.12,1.4451832825,1.5318081011
2.13,1.4453342234,1.5319515839
2.14,1.4454852116,1.5320951133
2.15,1.4456362471,1.5322386895
2.16,1.4457873299,1.5323823126
2.17,1.4459384601,1.5325259824
2.18,1.4460896378,1.532669699
2.19,1.4462408628,1.5328134626
2.2,1.4463921354,1.532957273
2.21,1.4465434553,1.5331011303
2.22,1.4466948228,1.5332450346
2.23,1.4468462379,1.5333889858
2.24,1.4469977004,1.5335329841
2.25,1.4471492106,1.5336770293
2.26,1.4473007683,1.5338211216
2.27,1.4474523737,1.5339652609
2.28,1.4476040268,1.5341094473
2.29,1.4477557275,1.5342536809
2.3,1.4479074759,1.5343979615
2.31,1.448059272,1.5345422894
2.32,1.4482111159,1.5346866644
2.33,1.4483630076,1.5348310866
2.34,1.448514947,1.5349755561
2.35,1.4486669343,1.5351200729
2.36,1.4488189695,1.5352646369
2.37,1.4489710525,1.5354092482
2.38,1.4491231835,1.5355539069
2.39,1.4492753623,1.5356986129
2.4,1.4494275891,1.5358433664
2.41,1.4495798639,1.5359881672
2.42,1.4497321867,1.5361330155
2.43,1.4498845575,1.5362779113
2.44,1.4500369764,1.5364228545
2.45,1.4501894434,1.5365678453
2.46,1.4503419584,1.5367128836
2.47,1.4504945216,1.5368579694
2.48,1.450647133,1.5370031029
2.49,1.4507997925,1.5371482839
2.5,1.4509525002,1.5372935127
2.51,1.4511052562,1.537438789
2.52,1.4512580604,1.5375841131
2.53,1.4514109129,1.5377294849
2.54,1.4515638137,1.5378749044
2.55,1.4517167628,1.5380203717
2.56,1.4518697603,1.5381658868
2.57,1.4520228062,1.5383114497
2.58,1.4521759005,1.5384570605
2.59,1.4523290432,1.5386027191
2.6,1.4524822344,1.5387484257
2.61,1.4526354741,1.5388941801
2.62,1.4527887623,1.5390399825
2.63,1.452942099,1.5391858329
2.64,1.4530954843,1.5393317313
2.65,1.4532489182,1.5394776777
2.66,1.4534024007,1.5396236721
2.67,1.4535559318,1.5397697146
2.68,1.4537095116,1.5399158053
2.69,1.4538631401,1.540061944
2.7,1.4540168173,1.5402081309
2.71,1.4541705432,1.540354366
